network,arm,condition,sparsifier,target_ret,realized_ret,spar_seed,leiden_seed,gamma,m_sparse,comm,comm_size,core_size,core_emb_mean,periph_emb_mean,core_cohesion,periph_cohesion
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,6,69,35,0.6873534748067683,0.37684935660367336,0.9428571428571428,0.8529411764705882
email-Eu-core,real,dspar,dspar,0.5,0.499938,200,300,1.0,8031,7,55,28,0.8813837170310295,0.5457701230351126,0.6428571428571429,0.5185185185185185
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,0,230,115,0.8739480187233132,0.5295190951366522,0.6086956521739131,0.6782608695652174
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,1,148,74,0.9562131883009791,0.603707413444486,0.8513513513513513,0.6486486486486487
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,2,133,67,0.8543344940177413,0.5076636420139036,0.9701492537313433,0.8181818181818182
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,3,127,64,0.8959625912946235,0.5435014867160615,0.921875,0.6031746031746031
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,4,127,64,0.9195543738372072,0.5267897341637532,1.0,0.8095238095238095
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.8958333333333334
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,6,69,35,0.6873534748067683,0.37684935660367336,0.9428571428571428,0.8235294117647058
email-Eu-core,real,lspar,lspar,0.5,0.502054,,300,1.0,8065,7,55,28,0.8813837170310295,0.5457701230351126,0.6071428571428571,0.5185185185185185
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,0,230,115,0.8739480187233132,0.5295190951366522,0.4608695652173913,0.591304347826087
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,1,148,74,0.9562131883009791,0.603707413444486,0.8513513513513513,0.6621621621621622
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,2,133,67,0.8543344940177413,0.5076636420139036,0.582089552238806,0.42424242424242425
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,3,127,64,0.8959625912946235,0.5435014867160615,0.640625,0.6507936507936508
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,4,127,64,0.9195543738372072,0.5267897341637532,0.59375,0.47619047619047616
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.8541666666666666
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,6,69,35,0.6873534748067683,0.37684935660367336,0.8285714285714286,0.8529411764705882
email-Eu-core,real,lspar,lspar,0.2,0.201444,,300,1.0,3236,7,55,28,0.8813837170310295,0.5457701230351126,0.6071428571428571,0.5185185185185185
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,0,230,115,0.8739480187233132,0.5295190951366522,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,1,148,74,0.9562131883009791,0.603707413444486,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,2,133,67,0.8543344940177413,0.5076636420139036,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,3,127,64,0.8959625912946235,0.5435014867160615,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,4,127,64,0.9195543738372072,0.5267897341637532,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,5,97,49,0.9499433245061324,0.6263004328303747,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,6,69,35,0.6873534748067683,0.37684935660367336,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.8,1.0,,100,1.0,16064,7,55,28,0.8813837170310295,0.5457701230351126,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,0,230,115,0.8739480187233132,0.5295190951366522,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,1,148,74,0.9562131883009791,0.603707413444486,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,2,133,67,0.8543344940177413,0.5076636420139036,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,3,127,64,0.8959625912946235,0.5435014867160615,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,4,127,64,0.9195543738372072,0.5267897341637532,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,5,97,49,0.9499433245061324,0.6263004328303747,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,6,69,35,0.6873534748067683,0.37684935660367336,1.0,1.0
email-Eu-core,real,resmatch,dspar,0.5,1.0,,100,1.0,16064,7,55,28,0.8813837170310295,0.5457701230351126,1.0,1.0
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,0,230,115,0.8739480187233132,0.5295190951366522,0.4434782608695652,0.3652173913043478
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,1,148,74,0.9562131883009791,0.603707413444486,0.8648648648648649,0.6891891891891891
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,2,133,67,0.8543344940177413,0.5076636420139036,0.9850746268656716,0.8787878787878788
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,3,127,64,0.8959625912946235,0.5435014867160615,0.953125,0.6666666666666666
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,4,127,64,0.9195543738372072,0.5267897341637532,1.0,0.8412698412698413
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.9375
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,6,69,35,0.6873534748067683,0.37684935660367336,0.9428571428571428,0.9117647058823529
email-Eu-core,real,resmatch,lspar,0.5,1.0,,100,1.5,16064,7,55,28,0.8813837170310295,0.5457701230351126,0.6428571428571429,0.5185185185185185
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,0,230,115,0.8739480187233132,0.5295190951366522,0.4434782608695652,0.2782608695652174
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,1,148,74,0.9562131883009791,0.603707413444486,0.8648648648648649,0.6891891891891891
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,2,133,67,0.8543344940177413,0.5076636420139036,0.6716417910447762,0.6363636363636364
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,3,127,64,0.8959625912946235,0.5435014867160615,0.953125,0.6666666666666666
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,4,127,64,0.9195543738372072,0.5267897341637532,1.0,0.7936507936507936
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,5,97,49,0.9499433245061324,0.6263004328303747,1.0,0.8958333333333334
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,6,69,35,0.6873534748067683,0.37684935660367336,0.9142857142857143,0.9117647058823529
email-Eu-core,real,resmatch,lspar,0.2,1.0,,100,1.75,16064,7,55,28,0.8813837170310295,0.5457701230351126,0.6428571428571429,0.5185185185185185
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,0.2597402597402597,0.2631578947368421
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,0.2222222222222222,0.23809523809523808
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,0.19047619047619047,0.27419354838709675
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,0.22580645161290322,0.19672131147540983
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,0.17857142857142858,0.23636363636363636
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,0.21153846153846154,0.21153846153846154
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,0.2857142857142857,0.21951219512195122
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,0.3,0.4
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,0.3076923076923077,0.34615384615384615
email-Eu-core,null,jitter,,1.0,1.0,,101,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.2608695652173913
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,0,153,77,0.5658877091660534,0.2833017202787992,0.2077922077922078,0.19736842105263158
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,1,126,63,0.6082089916446508,0.2539474846087048,0.14285714285714285,0.15873015873015872
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,2,125,63,0.4591643160642754,0.23520438233329746,0.2222222222222222,0.22580645161290322
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,3,123,62,0.5560028129942078,0.23138308564370022,0.25806451612903225,0.22950819672131148
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,4,111,56,0.5138510599354505,0.23419364180882393,0.16071428571428573,0.2
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,5,104,52,0.4582154553158987,0.19629613788417183,0.19230769230769232,0.28846153846153844
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,6,83,42,0.44932266179187247,0.1842213210643928,0.16666666666666666,0.24390243902439024
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,7,60,30,0.46485659598972273,0.16263937428991096,0.23333333333333334,0.3
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,8,52,26,0.5138483738483738,0.14403399070305956,0.34615384615384615,0.19230769230769232
email-Eu-core,null,dspar,dspar,0.8,0.797249,200,300,1.0,12807,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.2608695652173913
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,0,153,77,0.5658877091660534,0.2833017202787992,0.2077922077922078,0.17105263157894737
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,1,126,63,0.6082089916446508,0.2539474846087048,0.1746031746031746,0.15873015873015872
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,2,125,63,0.4591643160642754,0.23520438233329746,0.20634920634920634,0.20967741935483872
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,3,123,62,0.5560028129942078,0.23138308564370022,0.20967741935483872,0.18032786885245902
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,4,111,56,0.5138510599354505,0.23419364180882393,0.26785714285714285,0.18181818181818182
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,5,104,52,0.4582154553158987,0.19629613788417183,0.28846153846153844,0.21153846153846154
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,6,83,42,0.44932266179187247,0.1842213210643928,0.16666666666666666,0.14634146341463414
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,7,60,30,0.46485659598972273,0.16263937428991096,0.3333333333333333,0.3
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,8,52,26,0.5138483738483738,0.14403399070305956,0.3076923076923077,0.23076923076923078
email-Eu-core,null,dspar,dspar,0.5,0.501805,200,300,1.0,8061,9,47,24,0.45133746614009773,0.14730717066174173,0.375,0.21739130434782608
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,0,153,77,0.5658877091660534,0.2833017202787992,0.24675324675324675,0.18421052631578946
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,1,126,63,0.6082089916446508,0.2539474846087048,0.30158730158730157,0.3333333333333333
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,2,125,63,0.4591643160642754,0.23520438233329746,0.31746031746031744,0.25806451612903225
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,3,123,62,0.5560028129942078,0.23138308564370022,0.27419354838709675,0.2786885245901639
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,4,111,56,0.5138510599354505,0.23419364180882393,0.21428571428571427,0.2545454545454545
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,5,104,52,0.4582154553158987,0.19629613788417183,0.21153846153846154,0.2692307692307692
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,6,83,42,0.44932266179187247,0.1842213210643928,0.23809523809523808,0.1951219512195122
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,7,60,30,0.46485659598972273,0.16263937428991096,0.3333333333333333,0.16666666666666666
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,8,52,26,0.5138483738483738,0.14403399070305956,0.23076923076923078,0.19230769230769232
email-Eu-core,null,lspar,lspar,0.5,0.49944,,300,1.0,8023,9,47,24,0.45133746614009773,0.14730717066174173,0.375,0.2608695652173913
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,0,153,77,0.5658877091660534,0.2833017202787992,0.14285714285714285,0.15789473684210525
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,1,126,63,0.6082089916446508,0.2539474846087048,0.14285714285714285,0.15873015873015872
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,2,125,63,0.4591643160642754,0.23520438233329746,0.19047619047619047,0.24193548387096775
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,3,123,62,0.5560028129942078,0.23138308564370022,0.16129032258064516,0.21311475409836064
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,4,111,56,0.5138510599354505,0.23419364180882393,0.125,0.23636363636363636
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,5,104,52,0.4582154553158987,0.19629613788417183,0.19230769230769232,0.15384615384615385
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,6,83,42,0.44932266179187247,0.1842213210643928,0.21428571428571427,0.21951219512195122
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,7,60,30,0.46485659598972273,0.16263937428991096,0.23333333333333334,0.2
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,8,52,26,0.5138483738483738,0.14403399070305956,0.23076923076923078,0.23076923076923078
email-Eu-core,null,lspar,lspar,0.2,0.203685,,300,1.0,3272,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.21739130434782608
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.8,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,dspar,0.5,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,0,153,77,0.5658877091660534,0.2833017202787992,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,1,126,63,0.6082089916446508,0.2539474846087048,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,2,125,63,0.4591643160642754,0.23520438233329746,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,3,123,62,0.5560028129942078,0.23138308564370022,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,4,111,56,0.5138510599354505,0.23419364180882393,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,5,104,52,0.4582154553158987,0.19629613788417183,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,6,83,42,0.44932266179187247,0.1842213210643928,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,7,60,30,0.46485659598972273,0.16263937428991096,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,8,52,26,0.5138483738483738,0.14403399070305956,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.5,1.0,,100,1.0,16064,9,47,24,0.45133746614009773,0.14730717066174173,1.0,1.0
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,0,153,77,0.5658877091660534,0.2833017202787992,0.2077922077922078,0.18421052631578946
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,1,126,63,0.6082089916446508,0.2539474846087048,0.14285714285714285,0.20634920634920634
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,2,125,63,0.4591643160642754,0.23520438233329746,0.31746031746031744,0.25806451612903225
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,3,123,62,0.5560028129942078,0.23138308564370022,0.27419354838709675,0.16393442622950818
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,4,111,56,0.5138510599354505,0.23419364180882393,0.3392857142857143,0.2909090909090909
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,5,104,52,0.4582154553158987,0.19629613788417183,0.25,0.19230769230769232
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,6,83,42,0.44932266179187247,0.1842213210643928,0.19047619047619047,0.1951219512195122
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,7,60,30,0.46485659598972273,0.16263937428991096,0.4,0.23333333333333334
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,8,52,26,0.5138483738483738,0.14403399070305956,0.2692307692307692,0.15384615384615385
email-Eu-core,null,resmatch,lspar,0.2,1.0,,100,1.125,16064,9,47,24,0.45133746614009773,0.14730717066174173,0.20833333333333334,0.17391304347826086
